Notes,Species name,Order name,Family name,Accession number,Oskar presence,Protein annotations,GeneBank annotations,GFF3 annotations,Genomic fasta file,RNA fasta file,TO DO
,Polistes dominula,Hymenoptera,Vespidae,GCA_001465965.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Bombus terrestris,Hymenoptera,Apidae,GCA_000214255.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
May be used for meta HMM,Habropoda laboriosa,Hymenoptera,Apidae,GCA_001263275.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
May be used for meta HMM,Melipona quadrifasciata,Hymenoptera,Apidae,GCA_001276565.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Apis mellifera intermissa,Hymenoptera,Apidae,GCA_000819425.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Bombus impatiens,Hymenoptera,Apidae,GCA_000188095.2,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Apis dorsata,Hymenoptera,Apidae,GCA_000469605.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Ceratina calcarata,Hymenoptera,Apidae,GCA_001652005.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Eufriesea mexicana,Hymenoptera,Apidae,GCA_001483705.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
May be used for meta HMM,Apis florea,Hymenoptera,Apidae,GCA_000184785.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Apis cerana,Hymenoptera,Apidae,GCA_001442555.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Apis mellifera,Hymenoptera,Apidae,GCA_000002195.1,N/A,No,No,Yes,Yes,No,Convert into GeneBank file and use Augustus!
Use for meta-HMM,Trichogramma pretiosum,Hymenoptera,Trichogrammatidae,GCA_000599845.2,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Cephus cinctus,Hymenoptera,Cephidae,GCA_000341935.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Orussus abietinus,Hymenoptera,Orussidae,GCA_000612105.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Athalia rosae,Hymenoptera,Tenthredinidae,GCA_000344095.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Copidosoma floridanum,Hymenoptera,Encyrtidae,GCA_000648655.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Pogonomyrmex barbatus,Hymenoptera,Formicidae,GCA_000187915.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Vollenhovia emeryi,Hymenoptera,Formicidae,GCA_000949405.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Monomorium pharaonis,Hymenoptera,Formicidae,GCA_000980195.3,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Trachymyrmex septentrionalis,Hymenoptera,Formicidae,GCA_001594115.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
May be used for meta HMM,Solenopsis invicta,Hymenoptera,Formicidae,GCA_000188075.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
May be used for meta HMM,Acromyrmex echinatior,Hymenoptera,Formicidae,GCA_000204515.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Harpegnathos saltator,Hymenoptera,Formicidae,GCA_000147195.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Lasius niger,Hymenoptera,Formicidae,GCA_001045655.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Pseudomyrmex gracilis,Hymenoptera,Formicidae,GCA_002006095.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
May be used for meta HMM,Atta colombica,Hymenoptera,Formicidae,GCA_001594045.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
May be used for meta HMM,Linepithema humile,Hymenoptera,Formicidae,GCA_000217595.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Cyphomyrmex costatus,Hymenoptera,Formicidae,GCA_001594065.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Cerapachys biroi,Hymenoptera,Formicidae,GCA_000611835.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
May be used for meta HMM,Trachymyrmex cornetzi,Hymenoptera,Formicidae,GCA_001594075.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Dinoponera quadriceps,Hymenoptera,Formicidae,GCA_001313825.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Atta cephalotes,Hymenoptera,Formicidae,GCA_000143395.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Trachymyrmex zeteki,Hymenoptera,Formicidae,GCA_001594055.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Camponotus floridanus,Hymenoptera,Formicidae,GCA_000147175.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Wasmannia auropunctata,Hymenoptera,Formicidae,GCA_000956235.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Leptopilina clavipes,Hymenoptera,Figitidae,GCA_001855655.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Neodiprion lecontei,Hymenoptera,Diprionidae,GCA_001263575.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Ceratosolen solmsi marchali,Hymenoptera,Agaonidae,GCA_000503995.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Dufourea novaeangliae,Hymenoptera,Halictidae,GCA_001272555.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Lasioglossum albipes,Hymenoptera,Halictidae,GCA_000346575.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
Use for meta-HMM,Megachile rotundata,Hymenoptera,Megachilidae,GCA_000220905.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,,,,,,,,,,,
,Clunio marinus,Diptera,Chironomidae,GCA_900005825.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Belgica antarctica,Diptera,Chironomidae,GCA_000775305.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Chironomus riparius,Diptera,Chironomidae,GCA_001014505.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Chironomus tentans,Diptera,Chironomidae,GCA_000786525.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles farauti,Diptera,Culicidae,GCA_000956265.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles minimus,Diptera,Culicidae,GCA_000349025.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles funestus,Diptera,Culicidae,GCA_000349085.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Anopheles epiroticus,Diptera,Culicidae,GCA_000349105.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles culicifacies,Diptera,Culicidae,GCA_000473375.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Anopheles christyi,Diptera,Culicidae,GCA_000349165.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles quadriannulatus,Diptera,Culicidae,GCA_000349065.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Anopheles melas,Diptera,Culicidae,GCA_000473525.2,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles nili,Diptera,Culicidae,GCA_000439205.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles coluzzii,Diptera,Culicidae,GCA_000150765.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Aedes aegypti,Diptera,Culicidae,GCA_001014885.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Anopheles merus,Diptera,Culicidae,GCA_000473845.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Anopheles punctulatus,Diptera,Culicidae,GCA_000956255.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles stephensi,Diptera,Culicidae,GCA_000349045.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles koliensis,Diptera,Culicidae,GCA_000956275.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles gambiae,Diptera,Culicidae,GCA_001014525.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles dirus,Diptera,Culicidae,GCA_000349145.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles farauti No. 4,Diptera,Culicidae,GCA_000956215.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Aedes albopictus,Diptera,Culicidae,GCA_001574995.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Anopheles albimanus,Diptera,Culicidae,GCA_000349125.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Anopheles atroparvus,Diptera,Culicidae,GCA_000473505.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Culex quinquefasciatus,Diptera,Culicidae,GCA_000209185.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Anopheles arabiensis,Diptera,Culicidae,GCA_000349185.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Anopheles sinensis,Diptera,Culicidae,GCA_000472065.2,Yes,No,Yes,Yes,No,No,Nothing to do
,Anopheles darlingi,Diptera,Culicidae,GCA_000211455.3,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Anopheles gambiae str. PEST,Diptera,Culicidae,GCA_000005575.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Anopheles maculatus,Diptera,Culicidae,GCA_000473185.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Phlebotomus papatasi,Diptera,Psychodidae,GCA_000262795.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Clogmia albipunctata,Diptera,Psychodidae,GCA_001014945.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Lutzomyia longipalpis,Diptera,Psychodidae,GCA_000265325.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Bactrocera cucurbitae,Diptera,Tephritidae,GCA_000806345.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Bactrocera oleae,Diptera,Tephritidae,GCA_001014625.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Tephritis californica,Diptera,Tephritidae,GCA_001017515.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Bactrocera tryoni,Diptera,Tephritidae,GCA_000695345.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Bactrocera dorsalis,Diptera,Tephritidae,GCA_000789215.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Eutreta diana,Diptera,Tephritidae,GCA_001015115.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Bactrocera latifrons,Diptera,Tephritidae,GCA_001853355.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Ceratitis capitata,Diptera,Tephritidae,GCA_000347755.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Trupanea jonesi,Diptera,Tephritidae,GCA_001014665.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Rhagoletis zephyria,Diptera,Tephritidae,GCA_001687245.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Drosophila erecta,Diptera,Drosophilidae,GCA_000005135.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Drosophila grimshawi,Diptera,Drosophilidae,GCA_000005155.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Scaptodrosophila lebanonensis,Diptera,Drosophilidae,GCA_001014445.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
Use as HMM model,Drosophila melanogaster,Diptera,Drosophilidae,GCA_001014345.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila miranda,Diptera,Drosophilidae,GCA_001014365.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila pseudoobscura pseudoobscura,Diptera,Drosophilidae,GCA_000149495.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Phortica variegata,Diptera,Drosophilidae,GCA_001014415.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Drosophila yakuba,Diptera,Drosophilidae,GCA_000005975.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Drosophila virilis,Diptera,Drosophilidae,GCA_000004125.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Drosophila takahashii,Diptera,Drosophilidae,GCA_000224235.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila pseudoobscura,Diptera,Drosophilidae,GCA_001014495.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Drosophila rhopaloa,Diptera,Drosophilidae,GCA_000236305.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila bipectinata,Diptera,Drosophilidae,GCA_000236285.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila eugracilis,Diptera,Drosophilidae,GCA_000236325.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila busckii,Diptera,Drosophilidae,GCA_001014355.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Drosophila willistoni,Diptera,Drosophilidae,GCA_000005925.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Drosophila arizonae,Diptera,Drosophilidae,GCA_001654025.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Drosophila albomicans,Diptera,Drosophilidae,GCA_001014995.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila ananassae,Diptera,Drosophilidae,GCA_000005115.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Drosophila suzukii,Diptera,Drosophilidae,GCA_000326985.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Drosophila kikkawai,Diptera,Drosophilidae,GCA_000224215.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila americana,Diptera,Drosophilidae,GCA_001245305.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Zaprionus indianus,Diptera,Drosophilidae,GCA_001752445.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Drosophila biarmipes,Diptera,Drosophilidae,GCA_000233415.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila ficusphila,Diptera,Drosophilidae,GCA_000220665.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila elegans,Diptera,Drosophilidae,GCA_000224195.2,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila persimilis,Diptera,Drosophilidae,GCA_000005195.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Drosophila navojoa,Diptera,Drosophilidae,GCA_001654015.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Drosophila mojavensis,Diptera,Drosophilidae,GCA_000005175.1,Yes,Yes,Yes,Yes,Yes,No,Nothing to do
,Drosophila sechellia,Diptera,Drosophilidae,GCA_000525085.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Drosophila simulans,Diptera,Drosophilidae,GCA_000525065.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Musca domestica,Diptera,Muscidae,GCA_000371365.1,Yes,No,Yes,Yes,Yes,No,Nothing to do
,Stomoxys calcitrans,Diptera,Muscidae,GCA_001015335.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Lucilia sericata,Diptera,Calliphoridae,GCA_001014835.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Phormia regina,Diptera,Calliphoridae,GCA_001735585.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Calliphora vicina,Diptera,Calliphoridae,GCA_001017275.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Lucilia cuprina,Diptera,Calliphoridae,GCA_000699065.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Neobellieria bullata,Diptera,Sarcophagidae,GCA_001017455.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Sarcophagidae sp. BV-2014,Diptera,Sarcophagidae,GCA_001047195.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Glossina morsitans,Diptera,Glossinidae,GCA_001014515.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Glossina pallidipes,Diptera,Glossinidae,GCA_000688715.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Glossina palpalis gambiensis,Diptera,Glossinidae,GCA_000818775.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Glossina brevipalpis,Diptera,Glossinidae,GCA_000671755.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Glossina morsitans morsitans,Diptera,Glossinidae,GCA_001077435.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Glossina austeni,Diptera,Glossinidae,GCA_000688735.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Glossina fuscipes fuscipes,Diptera,Glossinidae,GCA_000671735.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Mayetiola destructor,Diptera,Cecidomyiidae,GCA_001014435.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Eristalis dimidiata,Diptera,Syrphidae,GCA_001015145.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Hermetia illucens,Diptera,Stratiomyidae,GCA_001014895.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Megaselia abdita,Diptera,Phoridae,GCA_001015175.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Megaselia scalaris,Diptera,Phoridae,GCA_000341915.2,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Tipula oleracea,Diptera,Tipulidae,GCA_001017535.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Chaoborus trivitattus,Diptera,Chaoboridae,GCA_001014815.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Mochlonyx cinctipes,Diptera,Chaoboridae,GCA_001014845.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Cirrula hians,Diptera,Ephydridae,GCA_001015075.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Ephydra gracilis,Diptera,Ephydridae,GCA_001014675.1,N/A,No,No,No,Yes,No,Use GeneMark + Exonerate + Evidence Modeller + Augustus
,Holcocephala fusca,Diptera,Asilidae,GCA_001015215.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Proctacanthus coquilletti,Diptera,Asilidae,GCA_001932985.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Trichoceridae sp. BV-2014,Diptera,Trichoceridae,GCA_001014425.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Coboldia fuscipes,Diptera,Scatopsidae,GCA_001014335.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Condylostylus patibulatus,Diptera,Dolichopodidae,GCA_001014875.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Liriomyza trifolii,Diptera,Agromyzidae,GCA_001014935.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Themira minor,Diptera,Sepsidae,GCA_001014575.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Teleopsis dalmanni,Diptera,Diopsidae,GCA_001017525.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Sphyracephala brevicornis,Diptera,Diopsidae,GCA_001015235.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,,,,,,,,,,,
,Bombyx mori,Lepidoptera,Bombycidae,GCA_000325555.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Spodoptera frugiperda,Lepidoptera,Noctuidae,GCA_000753635.2,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Pieris rapae,Lepidoptera,Pieridae,GCA_001856805.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Phoebis sennae,Lepidoptera,Pieridae,GCA_001586405.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Manduca sexta,Lepidoptera,Sphingidae,GCA_000262585.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Amyelois transitella,Lepidoptera,Pyralidae,GCA_001186105.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Papilio polytes,Lepidoptera,Papilionidae,GCA_000836215.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Papilio machaon,Lepidoptera,Papilionidae,GCA_001298355.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Papilio glaucus,Lepidoptera,Papilionidae,GCA_000931545.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Papilio xuthus,Lepidoptera,Papilionidae,GCA_001298345.1,N/A,Yes,Yes,Yes,Yes,No,Find Oskar
,Calycopis cecrops,Lepidoptera,Lycaenidae,GCA_001625245.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius numata tarapotensis,Lepidoptera,Nymphalidae,GCA_001486745.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius melpomene aglaope,Lepidoptera,Nymphalidae,GCA_001486105.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius melpomene malleti,Lepidoptera,Nymphalidae,GCA_001510935.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius cydno cordula,Lepidoptera,Nymphalidae,GCA_001485865.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius melpomene amaryllis,Lepidoptera,Nymphalidae,GCA_001486145.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius ethilla aerotome,Lepidoptera,Nymphalidae,GCA_001485785.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius ismenius,Lepidoptera,Nymphalidae,GCA_001485965.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius timareta timareta,Lepidoptera,Nymphalidae,GCA_001486465.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius numata silvana,Lepidoptera,Nymphalidae,GCA_001486245.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
,Heliconius pardalinus sergestus,Lepidoptera,Nymphalidae,GCA_001486765.1,N/A,No,Yes,Yes,Yes,No,Use Augustus
